EN,SV,PLURAL
ERMProviderEbscoApiKey,ERMProviderEbscoApiKey,ERMProviderEbscoApiKey
ERMProviderEbscoCustomerID,ERMProviderEbscoCustomerID,ERMProviderEbscoCustomerID
ERMProviders,ERMProviders,ERMProviders
ESPreventAutoTruncate,ESPreventAutoTruncate,ESPreventAutoTruncate
ETAT,ETAT,ETAT
ETC,ETC,ETC
EUC,EUC,EUC
EUR,EUR,EUR
EVEN,EVEN,EVEN
EVENT,EVENT,EVENT
EW,EW,EW
EXAMPLE,EXAMPLE,EXAMPLE
EXAMPLES,EXAMPLES,EXAMPLES
EXCEPT,EXCEPT,EXCEPT
EXPIRE,EXPIRE,EXPIRE
EXPRESSED,EXPRESSED,EXPRESSED
EXTENT,EXTENT,EXTENT
EasyAnalyticalRecords,EasyAnalyticalRecords,EasyAnalyticalRecords
EasyAnalytics,EasyAnalytics,EasyAnalytics
EdifactInvoiceImport,EdifactInvoiceImport,EdifactInvoiceImport
EdifactLSQ,EdifactLSQ,EdifactLSQ
ElasticSearch,ElasticSearch,ElasticSearch
ElasticsearchCrossFields,ElasticsearchCrossFields,ElasticsearchCrossFields
EmailAddressForPatronRegistrations,EmailAddressForPatronRegistrations,EmailAddressForPatronRegistrations
EmailAddressForSuggestions,EmailAddressForSuggestions,EmailAddressForSuggestions
EmailFieldPrecedence,EmailFieldPrecedence,EmailFieldPrecedence
EmailFieldPrimary,EmailFieldPrimary,EmailFieldPrimary
EmailFieldSelection,EmailFieldSelection,EmailFieldSelection
EmailOverduesNoEmail,EmailOverduesNoEmail,EmailOverduesNoEmail
EmailPatronRegistrations,EmailPatronRegistrations,EmailPatronRegistrations
EmailPatronWhenHoldIsPlaced,EmailPatronWhenHoldIsPlaced,EmailPatronWhenHoldIsPlaced
EmailPurchaseSuggestions,EmailPurchaseSuggestions,EmailPurchaseSuggestions
EmailSMSSendDriverFromAddress,EmailSMSSendDriverFromAddress,EmailSMSSendDriverFromAddress
EnableAdvancedCatalogingEditor,EnableAdvancedCatalogingEditor,EnableAdvancedCatalogingEditor
EnableBorrowerFiles,EnableBorrowerFiles,EnableBorrowerFiles
EnableExpiredPasswordReset,EnableExpiredPasswordReset,EnableExpiredPasswordReset
EnableItemGroupHolds,EnableItemGroupHolds,EnableItemGroupHolds
EnableItemGroups,EnableItemGroups,EnableItemGroups
EnableOpacSearchHistory,EnableOpacSearchHistory,EnableOpacSearchHistory
EnablePayPalOpacPayments,EnablePayPalOpacPayments,EnablePayPalOpacPayments
EnablePointOfSale,EnablePointOfSale,EnablePointOfSale
EnableSearchHistory,EnableSearchHistory,EnableSearchHistory
EnhancedMessagingPreferences,EnhancedMessagingPreferences,EnhancedMessagingPreferences
EnhancedMessagingPreferencesOPAC,EnhancedMessagingPreferencesOPAC,EnhancedMessagingPreferencesOPAC
EpsonExpert,EpsonExpert,EpsonExpert
ExcludeHolidaysFromMaxPickUpDelay,ExcludeHolidaysFromMaxPickUpDelay,ExcludeHolidaysFromMaxPickUpDelay
ExecStart,ExecStart,ExecStart
ExpireReservesAutoFill,ExpireReservesAutoFill,ExpireReservesAutoFill
ExpireReservesAutoFillEmail,ExpireReservesAutoFillEmail,ExpireReservesAutoFillEmail
ExpireReservesMaxPickUpDelay,ExpireReservesMaxPickUpDelay,ExpireReservesMaxPickUpDelay
ExpireReservesMaxPickUpDelayCharge,ExpireReservesMaxPickUpDelayCharge,ExpireReservesMaxPickUpDelayCharge
ExpireReservesOnHolidays,ExpireReservesOnHolidays,ExpireReservesOnHolidays
ExplodedTerms,ExplodedTerms,ExplodedTerms
ExportCircHistory,ExportCircHistory,ExportCircHistory
ExportRemoveFields,ExportRemoveFields,ExportRemoveFields
ExportWithCsvProfile,ExportWithCsvProfile,ExportWithCsvProfile
ExtendedPatronAttributes,ExtendedPatronAttributes,ExtendedPatronAttributes
ExtractValue,ExtractValue,ExtractValue
FA,FA,FA
FAILURE,FAILURE,FAILURE
FAQ,FAQ,FAQ
FAQs,FAQs,FAQs
FI,FI,FI
FIC,FIC,FIC
FICTION,FICTION,FICTION
FIELD,FIELD,FIELD
FILE,FILE,FILE
FILL,FILL,FILL
FINES,FINES,FINES
FITNESS,FITNESS,FITNESS
FIXED,FIXED,FIXED
FOR,FOR,FOR
FOREACH,FOREACH,FOREACH
FORGIVEN,FORGIVEN,FORGIVEN
FORM,FORM,FORM
FORMATTED,FORMATTED,FORMATTED
FR,FR,FR
FRBR,FRBR,FRBR
FRBRization,FRBRization,FRBRization
FRBRizeEditions,FRBRizeEditions,FRBRizeEditions
FRBRizing,FRBRizing,FRBRizing
FROM,FROM,FROM
FTP,FTP,FTP
FacetLabelTruncationLength,FacetLabelTruncationLength,FacetLabelTruncationLength
FacetMaxCount,FacetMaxCount,FacetMaxCount
FacetOrder,FacetOrder,FacetOrder
FailedLoginAttempts,FailedLoginAttempts,FailedLoginAttempts
FallbackToSMSIfNoEmail,FallbackToSMSIfNoEmail,FallbackToSMSIfNoEmail
FeeOnChangePatronCategory,FeeOnChangePatronCategory,FeeOnChangePatronCategory
FilterBeforeOverdueReport,FilterBeforeOverdueReport,FilterBeforeOverdueReport
FineNotifyAtCheckin,FineNotifyAtCheckin,FineNotifyAtCheckin
FinePaymentAutoPopup,FinePaymentAutoPopup,FinePaymentAutoPopup
FinesIncludeGracePeriod,FinesIncludeGracePeriod,FinesIncludeGracePeriod
FinesLog,FinesLog,FinesLog
ForceLibrarySelection,ForceLibrarySelection,ForceLibrarySelection
ForcePasswordResetWhenSetByStaff,ForcePasswordResetWhenSetByStaff,ForcePasswordResetWhenSetByStaff
FreeForm,FreeForm,FreeForm
FreeFrom,FreeFrom,FreeFrom
FreeOTP,FreeOTP,FreeOTP
GDPR,GDPR,GDPR
GEN,GEN,GEN
GENERAL,GENERAL,GENERAL
GENRE,GENRE,GENRE
GENREQ,GENREQ,GENREQ
GEOGRAPHICAL,GEOGRAPHICAL,GEOGRAPHICAL
GIR,GIR,GIR
GMD,GMD,GMD
GNU,GNU,GNU
GPL,GPL,GPL
GPO,GPO,GPO
GREATER,GREATER,GREATER
GUI,GUI,GUI
GoogleJackets,GoogleJackets,GoogleJackets
GoogleOpenIDConnect,GoogleOpenIDConnect,GoogleOpenIDConnect
GoogleOpenIDConnectAutoRegister,GoogleOpenIDConnectAutoRegister,GoogleOpenIDConnectAutoRegister
GoogleOpenIDConnectDefaultBranch,GoogleOpenIDConnectDefaultBranch,GoogleOpenIDConnectDefaultBranch
GoogleOpenIDConnectDefaultCategory,GoogleOpenIDConnectDefaultCategory,GoogleOpenIDConnectDefaultCategory
GoogleOpenIDConnectDomain,GoogleOpenIDConnectDomain,GoogleOpenIDConnectDomain
HALIFAX,HALIFAX,HALIFAX
HALTON,HALTON,HALTON
HAS,HAS,HAS
HEN,HEN,HEN
HH,HH,HH
HHMMSS,HHMMSS,HHMMSS
HILLS,HILLS,HILLS
HINGS,HINGS,HINGS
HOLD,HOLD,HOLD
HOLDDGST,HOLDDGST,HOLDDGST
HOLDER,HOLDER,HOLDER
HOLDERS,HOLDERS,HOLDERS
HOLDPLACED,HOLDPLACED,HOLDPLACED
HOLDS,HOLDS,HOLDS
HORIZON,HORIZON,HORIZON
HOST,HOST,HOST
HSBND,HSBND,HSBND
HTML,HTML,HTML
HTTP,HTTP,HTTP
HidePatronName,HidePatronName,HidePatronName
HidePersonalPatronDetailOnCirculation,HidePersonalPatronDetailOnCirculation,HidePersonalPatronDetailOnCirculation
HighlightOwnItemsOnOPAC,HighlightOwnItemsOnOPAC,HighlightOwnItemsOnOPAC
HighlightOwnItemsOnOPACWhich,HighlightOwnItemsOnOPACWhich,HighlightOwnItemsOnOPACWhich
HoldFeeMode,HoldFeeMode,HoldFeeMode
HoldRatioDefault,HoldRatioDefault,HoldRatioDefault
HoldingsIQ,HoldingsIQ,HoldingsIQ
HoldsAutoFill,HoldsAutoFill,HoldsAutoFill
HoldsAutoFillPrintSlip,HoldsAutoFillPrintSlip,HoldsAutoFillPrintSlip
HoldsLog,HoldsLog,HoldsLog
HoldsNeedProcessingSIP,HoldsNeedProcessingSIP,HoldsNeedProcessingSIP
HoldsQueuePrioritizeBranch,HoldsQueuePrioritizeBranch,HoldsQueuePrioritizeBranch
HoldsQueueSkipClosed,HoldsQueueSkipClosed,HoldsQueueSkipClosed
HoldsSplitQueue,HoldsSplitQueue,HoldsSplitQueue
HoldsSplitQueueNumbering,HoldsSplitQueueNumbering,HoldsSplitQueueNumbering
HoldsToPullStartDate,HoldsToPullStartDate,HoldsToPullStartDate
HomeOrHoldingBranch,HomeOrHoldingBranch,HomeOrHoldingBranch
HouseboundModule,HouseboundModule,HouseboundModule
ICU,ICU,ICU
ID,ID,ID
IDENTIFIER,IDENTIFIER,IDENTIFIER
IDLINK,IDLINK,IDLINK
IDs,IDs,IDs
IF,IF,IF
IFLA,IFLA,IFLA
IIIP,IIIP,IIIP
IL,IL,IL
ILL,ILL,ILL
ILLCheckAvailability,ILLCheckAvailability,ILLCheckAvailability
ILLDefaultStaffEmail,ILLDefaultStaffEmail,ILLDefaultStaffEmail
ILLHiddenRequestStatuses,ILLHiddenRequestStatuses,ILLHiddenRequestStatuses
ILLModule,ILLModule,ILLModule
ILLModuleCopyrightClearance,ILLModuleCopyrightClearance,ILLModuleCopyrightClearance
ILLModuleDisclaimerByType,ILLModuleDisclaimerByType,ILLModuleDisclaimerByType
ILLModuleUnmediated,ILLModuleUnmediated,ILLModuleUnmediated
ILLOpacbackends,ILLOpacbackends,ILLOpacbackends
ILLPartnerCode,ILLPartnerCode,ILLPartnerCode
ILLSendStaffNotices,ILLSendStaffNotices,ILLSendStaffNotices
ILLbackendspickerstaff,ILLbackendspickerstaff,ILLbackendspickerstaff
ILLform,ILLform,ILLform
ILLformpicker,ILLformpicker,ILLformpicker
ILLformpickerstaff,ILLformpickerstaff,ILLformpickerstaff
ILLrequestsfilters,ILLrequestsfilters,ILLrequestsfilters
ILS,ILS,ILS
ILSDI,ILSDI,ILSDI
IMPLIED,IMPLIED,IMPLIED
IMPRINT,IMPRINT,IMPRINT
IN,IN,IN
INABILITY,INABILITY,INABILITY
INACCURATE,INACCURATE,INACCURATE
INACTIVE,INACTIVE,INACTIVE
INCIDENTAL,INCIDENTAL,INCIDENTAL
INCLUDING,INCLUDING,INCLUDING
INDEX,INDEX,INDEX
INFORMATION,INFORMATION,INFORMATION
INNOPAC,INNOPAC,INNOPAC
INST,INST,INST
INSTALLER,INSTALLER,INSTALLER
INSTID,INSTID,INSTID
INTERFACE,INTERFACE,INTERFACE
INTRANET,INTRANET,INTRANET
INTRAdidyoumean,INTRAdidyoumean,INTRAdidyoumean
INTRODUCTION,INTRODUCTION,INTRODUCTION
INVENTORY,INVENTORY,INVENTORY
INVOICE,INVOICE,INVOICE
IP,IP,IP
IPs,IPs,IPs
IR,IR,IR
IRSpy,IRSpy,IRSpy
IS,IS,IS
ISBD,ISBD,ISBD
ISBN,ISBN,ISBN
ISBNs,ISBNs,ISBNs
ISDB,ISDB,ISDB
ISO,ISO,ISO
ISSN,ISSN,ISSN
ISSNs,ISSNs,ISSNs
ISSUE,ISSUE,ISSUE
ISSUEQSLIP,ISSUEQSLIP,ISSUEQSLIP
ISSUESLIP,ISSUESLIP,ISSUESLIP
ITEM,ITEM,ITEM
ITEMTYPECAT,ITEMTYPECAT,ITEMTYPECAT
ITF,ITF,ITF
IdRef,IdRef,IdRef
IllLog,IllLog,IllLog
ImageLimit,ImageLimit,ImageLimit
IncludeSeeFromInSearches,IncludeSeeFromInSearches,IncludeSeeFromInSearches
IndependentBranches,IndependentBranches,IndependentBranches
IndependentBranchesPatronModifications,IndependentBranchesPatronModifications,IndependentBranchesPatronModifications
IndexData,IndexData,IndexData
IntranetAddMastheadLibraryPulldown,IntranetAddMastheadLibraryPulldown,IntranetAddMastheadLibraryPulldown
IntranetBiblioDefaultView,IntranetBiblioDefaultView,IntranetBiblioDefaultView
IntranetCatalogSearchPulldown,IntranetCatalogSearchPulldown,IntranetCatalogSearchPulldown
IntranetCirculationHomeHTML,IntranetCirculationHomeHTML,IntranetCirculationHomeHTML
IntranetFavicon,IntranetFavicon,IntranetFavicon
IntranetNav,IntranetNav,IntranetNav
IntranetNumbersPreferPhrase,IntranetNumbersPreferPhrase,IntranetNumbersPreferPhrase
IntranetReadingHistoryHolds,IntranetReadingHistoryHolds,IntranetReadingHistoryHolds
IntranetReportsHomeHTML,IntranetReportsHomeHTML,IntranetReportsHomeHTML
IntranetSlipPrinterJS,IntranetSlipPrinterJS,IntranetSlipPrinterJS
IntranetUserCSS,IntranetUserCSS,IntranetUserCSS
IntranetUserJS,IntranetUserJS,IntranetUserJS
IntranetmainUserBlock,IntranetmainUserBlock,IntranetmainUserBlock
IntranetmainUserblock,IntranetmainUserblock,IntranetmainUserblock
IssueLog,IssueLog,IssueLog
IssueLostItem,IssueLostItem,IssueLostItem
IssuingInProcess,IssuingInProcess,IssuingInProcess
ItemsDeniedRenewal,ItemsDeniedRenewal,ItemsDeniedRenewal
JOAQUIN,JOAQUIN,JOAQUIN
JOBS,JOBS,JOBS
JPEG,JPEG,JPEG
JQuery,JQuery,JQuery
JS,JS,JS
JSON,JSON,JSON
JavaScript,JavaScript,JavaScript
KB,KB,KB
KBART,KBART,KBART
KIND,KIND,KIND
KLMNOP,KLMNOP,KLMNOP
KOC,KOC,KOC
KOCT,KOCT,KOCT
KOHA,KOHA,KOHA
KPZ,KPZ,KPZ
KR,KR,KR
KT,KT,KT
KTD,KTD,KTD
KU,KU,KU
KohaAdminEmailAddress,KohaAdminEmailAddress,KohaAdminEmailAddress
KohaDates,KohaDates,KohaDates
KohaManualBaseURL,KohaManualBaseURL,KohaManualBaseURL
KohaManualLanguage,KohaManualLanguage,KohaManualLanguage
LANG,LANG,LANG
LANGUAGE,LANGUAGE,LANGUAGE
LATEST,LATEST,LATEST
LAW,LAW,LAW
LC,LC,LC
LCC,LCC,LCC
LCCN,LCCN,LCCN
LCDB,LCDB,LCDB
LCL,LCL,LCL
LCSH,LCSH,LCSH
LDAP,LDAP,LDAP
LDR,LDR,LDR
LEADER,LEADER,LEADER
LENGTH,LENGTH,LENGTH
LIABLE,LIABLE,LIABLE
LIBRARIES,LIBRARIES,LIBRARIES
LIBRARIESAUSTRALIA,LIBRARIESAUSTRALIA,LIBRARIESAUSTRALIA
LIBRARY,LIBRARY,LIBRARY
LIBRIS,LIBRIS,LIBRIS
LIKE,LIKE,LIKE
LIMIT,LIMIT,LIMIT
LIMITED,LIMITED,LIMITED
LIST,LIST,LIST
LISTS,LISTS,LISTS
LOC,LOC,LOC
LOCAL,LOCAL,LOCAL
LOCATION,LOCATION,LOCATION
LOCvalues,LOCvalues,LOCvalues
LOGIN,LOGIN,LOGIN
LONDON,LONDON,LONDON
LOSS,LOSS,LOSS
LOSSES,LOSSES,LOSSES
LOST,LOST,LOST
LP,LP,LP
LRG,LRG,LRG
LRP,LRP,LRP
LSQ,LSQ,LSQ
LabelMARCView,LabelMARCView,LabelMARCView
LibraryName,LibraryName,LibraryName
LibraryThing,LibraryThing,LibraryThing
LibraryThingForLibrariesEnabled,LibraryThingForLibrariesEnabled,LibraryThingForLibrariesEnabled
LibraryThingForLibrariesID,LibraryThingForLibrariesID,LibraryThingForLibrariesID
LibraryThingForLibrariesTabbedView,LibraryThingForLibrariesTabbedView,LibraryThingForLibrariesTabbedView
LibrisKey,LibrisKey,LibrisKey
LibrisURL,LibrisURL,LibrisURL
LinkedIn,LinkedIn,LinkedIn
LinkerConsiderThesaurus,LinkerConsiderThesaurus,LinkerConsiderThesaurus
LinkerKeepStale,LinkerKeepStale,LinkerKeepStale
LinkerModule,LinkerModule,LinkerModule
LinkerOptions,LinkerOptions,LinkerOptions
LinkerRelink,LinkerRelink,LinkerRelink
ListIdentifier,ListIdentifier,ListIdentifier
ListIdentifiers,ListIdentifiers,ListIdentifiers
ListOwnerDesignated,ListOwnerDesignated,ListOwnerDesignated
ListOwnershipUponPatronDeletion,ListOwnershipUponPatronDeletion,ListOwnershipUponPatronDeletion
ListRecord,ListRecord,ListRecord
ListRecords,ListRecords,ListRecords
LoadCheckoutsTableDelay,LoadCheckoutsTableDelay,LoadCheckoutsTableDelay
LoadSearchHistoryToTheFirstLoggedUser,LoadSearchHistoryToTheFirstLoggedUser,LoadSearchHistoryToTheFirstLoggedUser
LocalCoverImages,LocalCoverImages,LocalCoverImages
LocalHoldsPriority,LocalHoldsPriority,LocalHoldsPriority
LocalHoldsPriorityItemControl,LocalHoldsPriorityItemControl,LocalHoldsPriorityItemControl
LocalHoldsPriorityPatronControl,LocalHoldsPriorityPatronControl,LocalHoldsPriorityPatronControl
LocalStorage,LocalStorage,LocalStorage
LockExpiredDelay,LockExpiredDelay,LockExpiredDelay
MAGAZINE,MAGAZINE,MAGAZINE
MAIN,MAIN,MAIN
MANITOBA,MANITOBA,MANITOBA
MANUAL,MANUAL,MANUAL
MARC,MARC,MARC
MARCEdit,MARCEdit,MARCEdit
MARCFieldDocURL,MARCFieldDocURL,MARCFieldDocURL
MARCOrgCode,MARCOrgCode,MARCOrgCode
MARCOverlayRules,MARCOverlayRules,MARCOverlayRules
MARCXML,MARCXML,MARCXML
MB,MB,MB
MED,MED,MED
MEETING,MEETING,MEETING
MEMBERS,MEMBERS,MEMBERS
MEMBERSHIP,MEMBERSHIP,MEMBERSHIP
MERCHANTABILITY,MERCHANTABILITY,MERCHANTABILITY
MIDI,MIDI,MIDI
MILTON,MILTON,MILTON
MIME,MIME,MIME
MISC,MISC,MISC
MLB,MLB,MLB
MM,MM,MM
MODIFIES,MODIFIES,MODIFIES
MODIFY,MODIFY,MODIFY
MODS,MODS,MODS
MP,MP,MP
MPL,MPL,MPL
MU,MU,MU
MUSIC,MUSIC,MUSIC
MX,MX,MX
ManaToken,ManaToken,ManaToken
MarcBreaker,MarcBreaker,MarcBreaker
MarcEdit,MarcEdit,MarcEdit
MarcFieldDocURL,MarcFieldDocURL,MarcFieldDocURL
MarcFieldForCreatorId,MarcFieldForCreatorId,MarcFieldForCreatorId
MarcFieldForCreatorName,MarcFieldForCreatorName,MarcFieldForCreatorName
MarcFieldForModifierId,MarcFieldForModifierId,MarcFieldForModifierId
MarcFieldForModifierName,MarcFieldForModifierName,MarcFieldForModifierName
MarcFieldsToOrder,MarcFieldsToOrder,MarcFieldsToOrder
MarcItemFieldsToOrder,MarcItemFieldsToOrder,MarcItemFieldsToOrder
MariaDB,MariaDB,MariaDB
MarkLostItemsAsReturned,MarkLostItemsAsReturned,MarkLostItemsAsReturned
MaxComponentRecords,MaxComponentRecords,MaxComponentRecords
MaxCount,MaxCount,MaxCount
MaxFine,MaxFine,MaxFine
MaxItemsToDisplayForBatchDel,MaxItemsToDisplayForBatchDel,MaxItemsToDisplayForBatchDel
MaxItemsToDisplayForBatchMod,MaxItemsToDisplayForBatchMod,MaxItemsToDisplayForBatchMod
MaxItemsToProcessForBatchMod,MaxItemsToProcessForBatchMod,MaxItemsToProcessForBatchMod
MaxOpenSuggestions,MaxOpenSuggestions,MaxOpenSuggestions
MaxSearchResultsItemsPerRecordStatusCheck,MaxSearchResultsItemsPerRecordStatusCheck,MaxSearchResultsItemsPerRecordStatusCheck
MaxTotalSuggestions,MaxTotalSuggestions,MaxTotalSuggestions
MembershipExpiryDaysNotice,MembershipExpiryDaysNotice,MembershipExpiryDaysNotice
MergeReportFields,MergeReportFields,MergeReportFields
MixedContent,MixedContent,MixedContent
MonthName,MonthName,MonthName
MyILLrequests,MyILLrequests,MyILLrequests
MySQL,MySQL,MySQL
NAF,NAF,NAF
NAL,NAL,NAL
NAME,NAME,NAME
NATIONAL,NATIONAL,NATIONAL
NCE,NCE,NCE
NECESSARY,NECESSARY,NECESSARY
NEKLS,NEKLS,NEKLS
NEW,NEW,NEW
NEWBK,NEWBK,NEWBK
NEWFIC,NEWFIC,NEWFIC
NEWS,NEWS,NEWS
NEWSPAPER,NEWSPAPER,NEWSPAPER
NFIC,NFIC,NFIC
NHUPAC,NHUPAC,NHUPAC
NISO,NISO,NISO
NLM,NLM,NLM
NO,NO,NO
NORMARC,NORMARC,NORMARC
NOT,NOT,NOT
NOTE,NOTE,NOTE
NOTICES,NOTICES,NOTICES
NOTIFY,NOTIFY,NOTIFY
NT,NT,NT
NULL,NULL,NULL
NUMBER,NUMBER,NUMBER
NewItemsDefaultLocation,NewItemsDefaultLocation,NewItemsDefaultLocation
NewsAuthorDisplay,NewsAuthorDisplay,NewsAuthorDisplay
NewsLog,NewsLog,NewsLog
NoIssuesChargeGuarantees,NoIssuesChargeGuarantees,NoIssuesChargeGuarantees
NoIssuesChargeGuarantorsWithGuarantees,NoIssuesChargeGuarantorsWithGuarantees,NoIssuesChargeGuarantorsWithGuarantees
NoRefundOnLostReturnedItemsAge,NoRefundOnLostReturnedItemsAge,NoRefundOnLostReturnedItemsAge
NoRenewalBeforePrecision,NoRenewalBeforePrecision,NoRenewalBeforePrecision
NotHighlightedWords,NotHighlightedWords,NotHighlightedWords
NotesToHide,NotesToHide,NotesToHide
NoticeBcc,NoticeBcc,NoticeBcc
NoticeCSS,NoticeCSS,NoticeCSS
NoticesLog,NoticesLog,NoticesLog
NotifyBorrowerDeparture,NotifyBorrowerDeparture,NotifyBorrowerDeparture
NotifyPasswordChange,NotifyPasswordChange,NotifyPasswordChange
NovelList,NovelList,NovelList
NovelistSelectEnabled,NovelistSelectEnabled,NovelistSelectEnabled
NovelistSelectPassword,NovelistSelectPassword,NovelistSelectPassword
NovelistSelectProfile,NovelistSelectProfile,NovelistSelectProfile
NovelistSelectStaffEnabled,NovelistSelectStaffEnabled,NovelistSelectStaffEnabled
NovelistSelectStaffProfile,NovelistSelectStaffProfile,NovelistSelectStaffProfile
NovelistSelectStaffView,NovelistSelectStaffView,NovelistSelectStaffView
NovelistSelectView,NovelistSelectView,NovelistSelectView
NumSavedReports,NumSavedReports,NumSavedReports
NumberOfSuggestionDays,NumberOfSuggestionDays,NumberOfSuggestionDays
OAI,OAI,OAI
OAuth,OAuth,OAuth
OCEAN,OCEAN,OCEAN
OCLC,OCLC,OCLC
OCoLC,OCoLC,OCoLC
ODS,ODS,ODS
ODUE,ODUE,ODUE
OF,OF,OF
OFF,OFF,OFF
OH,OH,OH
OHIOLINK,OHIOLINK,OHIOLINK
OIDC,OIDC,OIDC
OK,OK,OK
ON,ON,ON
ONLYMESSAGE,ONLYMESSAGE,ONLYMESSAGE
OPAC,OPAC,OPAC
OPACAcquisitionDetails,OPACAcquisitionDetails,OPACAcquisitionDetails
OPACAllowHoldDateInFuture,OPACAllowHoldDateInFuture,OPACAllowHoldDateInFuture
OPACAllowUserToChangeBranch,OPACAllowUserToChangeBranch,OPACAllowUserToChangeBranch
OPACAllowUserToChooseBranch,OPACAllowUserToChooseBranch,OPACAllowUserToChooseBranch
OPACAmazonCoverImages,OPACAmazonCoverImages,OPACAmazonCoverImages
OPACAuthorIdentifiers,OPACAuthorIdentifiers,OPACAuthorIdentifiers
OPACAuthorIdentifiersAndInformation,OPACAuthorIdentifiersAndInformation,OPACAuthorIdentifiersAndInformation
OPACBASEURL,OPACBASEURL,OPACBASEURL
OPACBaseURL,OPACBaseURL,OPACBaseURL
OPACComments,OPACComments,OPACComments
OPACCustomCoverImages,OPACCustomCoverImages,OPACCustomCoverImages
OPACDetailQRCode,OPACDetailQRCode,OPACDetailQRCode
OPACFRBRizeEditions,OPACFRBRizeEditions,OPACFRBRizeEditions
OPACFallback,OPACFallback,OPACFallback
OPACFineNoRenewals,OPACFineNoRenewals,OPACFineNoRenewals
OPACFineNoRenewalsBlockAutoRenew,OPACFineNoRenewalsBlockAutoRenew,OPACFineNoRenewalsBlockAutoRenew
OPACFineNoRenewalsIncludeCredits,OPACFineNoRenewalsIncludeCredits,OPACFineNoRenewalsIncludeCredits
OPACFinesTab,OPACFinesTab,OPACFinesTab
OPACHoldRequests,OPACHoldRequests,OPACHoldRequests
OPACHoldingsDefaultSortField,OPACHoldingsDefaultSortField,OPACHoldingsDefaultSortField
OPACHoldsHistory,OPACHoldsHistory,OPACHoldsHistory
OPACHoldsIfAvailableAtPickup,OPACHoldsIfAvailableAtPickup,OPACHoldsIfAvailableAtPickup
OPACHoldsIfAvailableAtPickupExceptions,OPACHoldsIfAvailableAtPickupExceptions,OPACHoldsIfAvailableAtPickupExceptions
